micromarket_category,option_name,developer_landlord,building_name,address_location,building_perspective_photo,building_details,building_structure,total_building_size_sqft,average_floor_plate_sqft,floor_plate_efficiency,power_kva,power_backup,proposed_space,available_inventory_sqft,floor_offered,status,fitout_details,timeline,car_parking_ratio,commercial_terms,quoted_rental_sqft_pm,cam_charges_sqft_pm,car_parking_charges,rental_escalation,security_deposit_months,lease_tenure_months,lock_in_period_months,notice_period_months,occupancy_certificate,location_map,contact_details,contact_person,contact_number,official_email,developer_name,folder_category,source_file,source_format,extraction_method,report_period,raw_remarks
CBD,Option 1,Puravankara Limited,Wework - The Pavillion,Church Street,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,"60,500–60,700 Sft","4,200 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,516.0 Sq. Ft.,516,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,"INR 7,000",0.08,6,36,24,3,Yes,"12.974951695490917, 77.60702559480362",Puravankara Limited Leasing Team,Leasing Head - Puravankara Limited,+91-80-40000000,leasing@puravankaralimited.com,Puravankara Limited,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 2,Embassy Property Developments,Wework - Galaxy,Residency Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+4,"125,000 Sft","17,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,144.0 Sq. Ft.,144,G+5,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.97370664167125, 77.60874913713126",Embassy Property Developments Leasing Team,Leasing Head - Embassy Property Developments,+91-80-40000000,leasing@embassypropertydevelopments.com,Embassy Property Developments,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 3,Embassy Property Developments,Wework - Embassy Vertex,Residency Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,"81,164 Sft","13,796 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,1183.0 Sq. Ft.,1183,G+5,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.966933252722045, 77.59911014326266",Embassy Property Developments Leasing Team,Leasing Head - Embassy Property Developments,+91-80-40000000,leasing@embassypropertydevelopments.com,Embassy Property Developments,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 4,Embassy Group,Wework - Embassy Quest,Magrath Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+3,"68,700 Sft","15,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,489.0 Sq. Ft.,489,G+3,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.969097990577609, 77.61374528131205",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 5,Prestige Estates Projects Ltd,Wework - Prestige Central,Infantry Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+7,"132,722 Sft","16,893 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,62.0 Sq. Ft.,62,G+7,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.98123874822291, 77.60337902178664",Prestige Estates Projects Ltd Leasing Team,Leasing Head - Prestige Estates Projects Ltd,+91-80-40000000,leasing@prestigeestatesprojectsltd.com,Prestige Estates Projects Ltd,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 6,MFAR Holdings Pvt. Ltd,Wework - 37 Cunningham,Cunningham Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+10,"227,584 Sft","22,119 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,540.0 Sq. Ft.,540,G+1+2+3,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.987831146698216, 77.59373789480384",MFAR Holdings Pvt. Ltd Leasing Team,Leasing Head - MFAR Holdings Pvt. Ltd,+91-80-40000000,leasing@mfarholdingspvt.ltd.com,MFAR Holdings Pvt. Ltd,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 7,Pardhanani Group,UV - MGR - 14,Commissariat Road - Pardhanani Wilshire I,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+M+3,"18,900 Sft","3,300 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,75.0 Sq. Ft.,75,Mezzanine Floor,Warm Shell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.976192637673467, 77.61158530954377",Pardhanani Group Leasing Team,Leasing Head - Pardhanani Group,+91-80-40000000,leasing@pardhananigroup.com,Pardhanani Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 8,HM Group,UV - HM Icon Square,Residency Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,"43,768–44,000 Sft","6,468–9,325 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,435.0 Sq. Ft.,435,G+1+2+3,Warm Shell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,12500.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971088055723481, 77.60555460812189",HM Group Leasing Team,Leasing Head - HM Group,+91-80-40000000,leasing@hmgroup.com,HM Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 9,Prestige Estates Projects Ltd.,UV - Prestige Obelisk,Kasturba Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+10,"163,698 Sft","16,500 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,30.0 Sq. Ft.,30,3F,Warm Shell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,13000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.975945684814556, 77.59733575247597",Prestige Estates Projects Ltd. Leasing Team,Leasing Head - Prestige Estates Projects Ltd.,+91-80-40000000,leasing@prestigeestatesprojectsltd..com,Prestige Estates Projects Ltd.,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 10,Independent,UV - Du Parc Trinity,Trinity Circle,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+12,"198,000 Sft","13,500 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,800.0 Sq. Ft.,800,3F,Warm Shell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,13000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971945078091192, 77.61917193713118",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 11,Independent,TS - Table Space Towers,Vittal Mallya Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+12,312000 Sft,"26,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,24.0 Sq. Ft.,24,9F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.97186428824984, 77.59448748131209",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 12,Prestige Group,"TS - Concorde Tower, UB City",Vittal Mallya Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+20,"244,000 Sft","9,500 - 13,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,8F+9F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971713569120173, 77.59583449902557",Prestige Group Leasing Team,Leasing Head - Prestige Group,+91-80-40000000,leasing@prestigegroup.com,Prestige Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 13,Indian Builders Corporation (IBC),TS - The Senate,Ulsoor Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+9,"183,000 Sft","18,000–20,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,430.0 Sq. Ft.,430,G+1+2+3,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.975852701113643, 77.61755573819774",Indian Builders Corporation (IBC) Leasing Team,Leasing Head - Indian Builders Corporation (IBC),+91-80-40000000,leasing@indianbuilderscorporation(ibc).com,Indian Builders Corporation (IBC),CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 14,Independent,Indiqube - Symphony,MG Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+5,"320,000 Sft","40,000-50,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973430741915061, 77.61460880829505",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 15,Independent,Indiqube - Logos,MG Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,"46,900 Sft","8,500-9,500 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.972780732468138, 77.61771666596741",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
